roomNumber,bin,room_entry_sequence,user_id,curr_people,ideal_sequential_state,sequential_consistency_diff,max_people,join_result,sequential_consistency_violation,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end
1307,5,84,yhjj866,86,85,1,100,SUCCESS,True,1449536476200,1449536878200
1306,5,84,yhjj979,84,85,-1,100,SUCCESS,True,1345946518900,1345946569100
1307,5,85,yhjj897,85,86,-1,100,SUCCESS,True,1449536632200,1449536717900
1303,5,85,yhjj1013,84,86,-2,100,SUCCESS,True,1117103248500,1117103348500
1303,5,87,yhjj916,90,88,2,100,SUCCESS,True,1117104916500,1117107806700
1305,5,88,yhjj991,90,89,1,100,SUCCESS,True,1255436329300,1255436484000
1301,5,88,yhjj831,90,89,1,100,SUCCESS,True,876902201200,876903055500
1309,5,88,yhjj1003,90,89,1,100,SUCCESS,True,1565137976900,1565138722800
1303,5,88,yhjj855,86,89,-3,100,SUCCESS,True,1117105051000,1117105326200
1309,5,89,yhjj864,89,90,-1,100,SUCCESS,True,1565138099200,1565138130100
1305,5,89,yhjj976,89,90,-1,100,SUCCESS,True,1255436402600,1255436437400
1301,5,89,yhjj908,89,90,-1,100,SUCCESS,True,876902412400,876902459800
1303,5,89,yhjj981,89,90,-1,100,SUCCESS,True,1117107462600,1117107708000
1308,5,89,yhjj930,91,90,1,100,SUCCESS,True,1519172635700,1519172798200
1309,5,90,yhjj998,92,91,1,100,SUCCESS,True,1565138738900,1565139435100
1308,5,90,yhjj1002,90,91,-1,100,SUCCESS,True,1519172664900,1519172721800
1309,5,91,yhjj933,91,92,-1,100,SUCCESS,True,1565139024600,1565139088800
1304,5,92,yhjj993,94,93,1,100,SUCCESS,True,1200405787000,1200405911600
1304,5,93,yhjj944,93,94,-1,100,SUCCESS,True,1200405848700,1200405897000
1305,5,93,yhjj825,95,94,1,100,SUCCESS,True,1255438703700,1255438833700
1301,5,93,yhjj916,99,94,5,100,SUCCESS,True,876907912000,876917082200
1309,5,93,yhjj948,96,94,2,100,SUCCESS,True,1565139656800,1565140789700
1309,5,94,yhjj937,94,95,-1,100,SUCCESS,True,1565140093600,1565140130700
1301,5,94,yhjj1014,94,95,-1,100,SUCCESS,True,876909285700,876909356000
1305,5,94,yhjj906,94,95,-1,100,SUCCESS,True,1255438713000,1255438792100
1309,5,95,yhjj881,97,96,1,100,SUCCESS,True,1565140359100,1565140846400
1301,5,95,yhjj961,95,96,-1,100,SUCCESS,True,876910203800,876910267000
1301,5,96,yhjj942,96,97,-1,100,SUCCESS,True,876911003300,876911076700
1306,5,96,yhjj977,99,97,2,100,SUCCESS,True,1345960610600,1345961613600
1309,5,96,yhjj952,95,97,-2,100,SUCCESS,True,1565140688200,1565140725200
1301,5,97,yhjj977,97,98,-1,100,SUCCESS,True,876914383000,876914469600
1305,5,97,yhjj958,99,98,1,100,SUCCESS,True,1255439622900,1255440129200
1305,5,98,yhjj913,98,99,-1,100,SUCCESS,True,1255439759300,1255439815900
1301,5,98,yhjj932,98,99,-1,100,SUCCESS,True,876915069200,876915160800
1306,5,98,yhjj888,97,99,-2,100,SUCCESS,True,1345960899400,1345960998200
